time,x,y,id,risk-so-far,total-risk
7.12,1.1264,2.102,5,0.0,0.00010643444897329157
7.12,2.2488,3.0822,6,0.0,0.0011719952137613232
7.12,2.3359,1.4759,7,0.0,0.0
7.12,2.8195,3.6067,8,0.0,1.1600725181803995e-05
7.12,3.1302,2.8146,9,0.0,0.0011604079501532638
7.12,3.1137,0.7642,10,0.0,0.0
7.12,4.1343,3.8222,11,0.0,0.0
7.16,-0.0757,1.9942,1,0.0,0.0
7.16,0.3473,2.9432,2,0.0,0.0
7.16,0.1804,3.6569,3,0.0,0.0
7.16,0.9842,1.3129,4,0.0,0.0
7.16,1.0634,2.1027,5,0.0,0.00010643444897329157
7.16,2.1845,3.0842,6,0.0,0.0011719952137613232
7.16,2.2687,1.4841,7,0.0,0.0
7.16,2.7617,3.6102,8,0.0,1.1600725181803995e-05
7.16,3.0584,2.8033,9,0.0,0.0011604079501532638
7.16,3.0391,0.7607,10,0.0,0.0
7.16,4.0532,3.826,11,0.0,0.0
7.2,-0.1363,2.0029,1,0.0,0.0
7.2,0.2925,2.9337,2,0.0,0.0
7.2,0.1219,3.6447,3,0.0,0.0
7.2,0.9307,1.3158,4,0.0,0.0
7.2,1.007,2.1024,5,0.0,0.00010643444897329157
7.2,2.1279,3.0891,6,0.0,0.0011719952137613232
7.2,2.1942,1.4874,7,0.0,0.0
7.2,2.7039,3.6138,8,0.0,1.1600725181803995e-05
7.2,2.9852,2.7959,9,0.0,0.0011604079501532638
7.2,2.9707,0.7568,10,0.0,0.0
7.2,3.9696,3.8297,11,0.0,0.0
7.24,-0.1758,2.0069,1,0.0,0.0
7.24,0.239,2.9255,2,0.0,0.0
7.24,0.0688,3.6356,3,0.0,0.0
7.24,0.8726,1.3272,4,0.0,0.0
7.24,0.9454,2.1019,5,0.0,0.00010643444897329157
7.24,2.0636,3.0912,6,0.0,0.0011719952137613232
7.24,2.132,1.4931,7,0.0,0.0
7.24,2.6384,3.6118,8,0.0,1.1600725181803995e-05
7.24,2.916,2.7873,9,0.0,0.0011604079501532638
7.24,2.8739,0.7553,10,0.0,0.0
7.24,3.8818,3.832,11,0.0,0.0
7.28,-0.2298,2.0148,1,0.0,0.0
7.28,0.1854,2.9174,2,0.0,0.0
7.28,0.005,3.6265,3,0.0,0.0
7.28,0.8202,1.3283,4,0.0,0.0
7.28,0.8823,2.1079,5,0.0,0.00010643444897329157
7.28,1.9991,3.101,6,0.0,0.0011719952137613232
7.28,2.0664,1.4964,7,0.0,0.0
7.28,2.5755,3.61,8,0.0,1.1600725181803995e-05
